Zeit;Kanal A
(ms);(mV)

-22,67499911;-4,47404100
-22,66999911;-4,10125500
-22,66499911;-5,03321800
-22,65999911;-4,10125500
-22,65499911;-5,40661900
-22,64999911;-5,40661900
-22,64499911;-4,84682600
-22,63999911;-5,96579700
-22,63499911;-6,89776000
-22,62999911;-5,59301200
-22,62499911;-5,96579700
-22,61999911;-5,03321800
-22,61499911;-5,40661900
-22,60999911;-4,10125500
-22,60499911;-3,72846900
-22,59999911;-3,54207700
-22,59499911;-2,79650600
-22,58999911;-2,98289800
-22,58499911;-2,79650600
-22,57999911;-2,79650600
-22,57499911;-2,60949800
-22,56999911;-3,35568400
-22,56499911;-3,72846900
-22,55999911;-3,54207700
-22,55499911;-4,10125500
-22,54999911;-3,72846900
-22,54499911;-4,47404100
-22,53999911;-4,10125500
-22,53499911;-3,72846900
-22,52999911;-3,72846900
-22,52499911;-4,10125500
-22,51999911;-3,72846900
-22,51499911;-2,23671300
-22,50999911;-2,42310500
-22,50499911;-2,23671300
-22,49999912;-1,67753400
-22,49499912;-1,30474900
-22,48999912;-0,93196360
-22,48499912;-1,11835600
-22,47999912;-1,86392700
-22,47499912;-1,67753400
-22,46999912;-1,30474900
-22,46499912;-1,49114200
-22,45999912;-1,67753400
-22,45499912;-3,35568400
-22,44999912;-3,72846900
-22,44499912;-4,10125500
-22,43999912;-5,03321800
-22,43499912;-4,66043300
-22,42999912;-5,59301200
-22,42499912;-6,52497500
-22,41999912;-6,52497500
-22,41499912;-5,96579700
-22,40999912;-7,82972400
-22,40499912;-6,15219000
-22,39999912;-5,59301200
-22,39499912;-5,21961100
-22,38999912;-4,28764700
-22,38499912;-4,10125500
-22,37999912;-2,42310500
-22,37499912;-1,67753400
-22,36999912;-1,86392700
-22,36499912;-0,37278540
-22,35999912;0,18639270
-22,35499912;-1,49114200
-22,34999912;1,11835600
-22,34499912;1,67753400
-22,33999912;1,86392700
-22,33499912;2,05032000
-22,32999912;2,60949800
-22,32499912;2,60949800
-22,31999912;2,79650600
-22,31499912;2,79650600
-22,30999912;3,35568400
-22,30499912;3,54207700
-22,29999912;3,91486200
-22,29499912;4,28764700
-22,28999912;4,28764700
-22,28499912;4,47404100
-22,27999912;4,84682600
-22,27499912;5,59301200
-22,26999912;5,96579700
-22,26499912;5,96579700
-22,25999912;7,64333200
-22,25499912;6,33858300
-22,24999912;7,27054500
-22,24499912;7,08415300
-22,23999912;6,71136800
-22,23499912;6,52497500
-22,22999912;6,71136800
-22,22499912;4,28764700
-22,21999912;7,08415300
-22,21499912;6,52497500
-22,20999912;6,15219000
-22,20499912;5,59301200
-22,19999912;6,33858300
-22,19499912;6,15219000
-22,18999912;6,52497500
-22,18499912;5,77940400
-22,17999912;6,33858300
-22,17499912;5,59301200
-22,16999912;5,96579700
-22,16499912;6,71136800
-22,15999912;6,33858300
-22,15499912;6,33858300
-22,14999912;5,96579700
-22,14499912;6,52497500
-22,13999912;6,71136800
-22,13499912;5,77940400
-22,12999912;5,77940400
-22,12499912;6,15219000
-22,11999912;6,33858300
-22,11499912;6,52497500
-22,10999912;6,71136800
-22,10499913;6,52497500
-22,09999913;7,64333200
-22,09499913;7,27054500
-22,08999913;8,01673200
-22,08499913;7,45693900
-22,07999913;7,27054500
-22,07499913;7,45693900
-22,06999913;7,08415300
-22,06499913;6,15219000
-22,05999913;6,71136800
-22,05499913;5,77940400
-22,04999913;5,77940400
-22,04499913;4,84682600
-22,03999913;4,47404100
-22,03499913;3,72846900
-22,02999913;4,66043300
-22,02499913;3,91486200
-22,01999913;4,84682600
-22,01499913;3,35568400
-22,00999913;3,54207700
-22,00499913;2,60949800
-21,99999913;3,35568400
-21,99499913;3,16929100
-21,98999913;2,23671300
-21,98499913;2,98289800
-21,97999913;3,35568400
-21,97499913;2,60949800
-21,96999913;3,35568400
-21,96499913;4,47404100
-21,95999913;3,54207700
-21,95499913;3,54207700
-21,94999913;2,60949800
-21,94499913;3,54207700
-21,93999913;4,28764700
-21,93499913;3,16929100
-21,92999913;3,35568400
-21,92499913;3,35568400
-21,91999913;2,60949800
-21,91499913;2,42310500
-21,90999913;2,79650600
-21,90499913;2,23671300
-21,89999913;2,79650600
-21,89499913;2,60949800
-21,88999913;2,23671300
-21,88499913;2,60949800
-21,87999913;2,42310500
-21,87499913;2,60949800
-21,86999913;2,60949800
-21,86499913;2,23671300
-21,85999913;2,60949800
-21,85499913;1,86392700
-21,84999913;2,23671300
-21,84499913;2,05032000
-21,83999913;1,49114200
-21,83499913;1,67753400
-21,82999913;0,74557080
-21,82499913;0,18639270
-21,81999913;-0,74557080
-21,81499913;-1,86392700
-21,80999913;-3,54207700
-21,80499913;-3,72846900
-21,79999913;-3,72846900
-21,79499913;-3,91486200
-21,78999913;-3,72846900
-21,78499913;-4,10125500
-21,77999913;-2,42310500
-21,77499913;-1,30474900
-21,76999913;-0,55917820
-21,76499913;0,18639270
-21,75999913;1,67753400
-21,75499913;2,98289800
-21,74999913;2,98289800
-21,74499913;3,72846900
-21,73999913;4,10125500
-21,73499913;3,54207700
-21,72999913;2,98289800
-21,72499913;2,42310500
-21,71999913;1,86392700
-21,71499913;1,67753400
-21,70999914;1,67753400
-21,70499914;0,93196360
-21,69999914;0,55917820
-21,69499914;0,55917820
-21,68999914;0,55917820
-21,68499914;1,11835600
-21,67999914;0,93196360
-21,67499914;0,74557080
-21,66999914;0,74557080
-21,66499914;0,74557080
-21,65999914;0,74557080
-21,65499914;0,00000000
-21,64999914;0,55917820
-21,64499914;-0,55917820
-21,63999914;1,49114200
-21,63499914;-0,74557080
-21,62999914;-1,67753400
-21,62499914;-2,05032000
-21,61999914;-2,79650600
-21,61499914;-2,98289800
-21,60999914;-4,47404100
-21,60499914;-4,66043300
-21,59999914;-4,10125500
-21,59499914;-4,10125500
-21,58999914;-4,10125500
-21,58499914;-4,10125500
-21,57999914;-4,10125500
-21,57499914;-4,66043300
-21,56999914;-4,28764700
-21,56499914;-4,10125500
-21,55999914;-4,66043300
-21,55499914;-5,40661900
